Day,Question Name,Leet Code Link,Neet Code Link,Difficulty,Category
47,Kth Largest Element In a Stream,https://leetcode.com/problems/kth-largest-element-in-a-stream/,https://neetcode.io/problems/kth-largest-integer-in-a-stream,Easy,Heap / Priority Queue
48,Last Stone Weight,https://leetcode.com/problems/last-stone-weight/,https://neetcode.io/problems/last-stone-weight,Easy,Heap / Priority Queue
49,Daily Temperatures,https://leetcode.com/problems/daily-temperatures/,https://neetcode.io/problems/daily-temperatures,Medium,Stack
50,Car Fleet,https://leetcode.com/problems/car-fleet/,https://neetcode.io/problems/car-fleet,Medium,Stack
51,Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix/,https://neetcode.io/problems/search-2d-matrix,Medium,Binary Search
52,Alien Dictionary,https://leetcode.com/problems/alien-dictionary/,https://neetcode.io/problems/foreign-dictionary,Hard,Advanced Graphs
53,Longest Increasing Path In a Matrix,https://leetcode.com/problems/longest-increasing-path-in-a-matrix/,https://neetcode.io/problems/longest-increasing-path-in-matrix,Hard,2-D Dynamic Programming
54,Distinct Subsequences,https://leetcode.com/problems/distinct-subsequences/,https://neetcode.io/problems/count-subsequences,Hard,2-D Dynamic Programming
55,Climbing Stairs,https://leetcode.com/problems/climbing-stairs/,https://neetcode.io/problems/climbing-stairs,Easy,1-D Dynamic Programming
56,Min Cost Climbing Stairs,https://leetcode.com/problems/min-cost-climbing-stairs/,https://neetcode.io/problems/min-cost-climbing-stairs,Easy,1-D Dynamic Programming
57,Meeting Rooms,https://leetcode.com/problems/meeting-rooms/,https://neetcode.io/problems/meeting-schedule,Easy,Intervals
58,Koko Eating Bananas,https://leetcode.com/problems/koko-eating-bananas/,https://neetcode.io/problems/eating-bananas,Medium,Binary Search
59,Find Minimum In Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,https://neetcode.io/problems/find-minimum-in-rotated-sorted-array,Medium,Binary Search
60,Search In Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,https://neetcode.io/problems/find-target-in-rotated-sorted-array,Medium,Binary Search
61,Burst Balloons,https://leetcode.com/problems/burst-balloons/,https://neetcode.io/problems/burst-balloons,Hard,2-D Dynamic Programming
62,Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching/,https://neetcode.io/problems/regular-expression-matching,Hard,2-D Dynamic Programming
63,Minimum Interval to Include Each Query,https://leetcode.com/problems/minimum-interval-to-include-each-query/,https://neetcode.io/problems/minimum-interval-including-query,Hard,Intervals
64,Happy Number,https://leetcode.com/problems/happy-number/,https://neetcode.io/problems/non-cyclical-number,Easy,Math & Geometry
65,Plus One,https://leetcode.com/problems/plus-one/,https://neetcode.io/problems/plus-one,Easy,Math & Geometry
66,Single Number,https://leetcode.com/problems/single-number/,https://neetcode.io/problems/single-number,Easy,Bit Manipulation
67,Time Based Key Value Store,https://leetcode.com/problems/time-based-key-value-store/,https://neetcode.io/problems/time-based-key-value-store,Medium,Binary Search
68,Reorder List,https://leetcode.com/problems/reorder-list/,https://neetcode.io/problems/reorder-linked-list,Medium,Linked List
69,Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,https://neetcode.io/problems/remove-node-from-end-of-linked-list,Medium,Linked List
70,Number of 1 Bits,https://leetcode.com/problems/number-of-1-bits/,https://neetcode.io/problems/number-of-one-bits,Easy,Bit Manipulation
71,Counting Bits,https://leetcode.com/problems/counting-bits/,https://neetcode.io/problems/counting-bits,Easy,Bit Manipulation
72,Reverse Bits,https://leetcode.com/problems/reverse-bits/,https://neetcode.io/problems/reverse-bits,Easy,Bit Manipulation
73,Copy List With Random Pointer,https://leetcode.com/problems/copy-list-with-random-pointer/,https://neetcode.io/problems/copy-linked-list-with-random-pointer,Medium,Linked List
74,Add Two Numbers,https://leetcode.com/problems/add-two-numbers/,https://neetcode.io/problems/add-two-numbers,Medium,Linked List
75,Find The Duplicate Number,https://leetcode.com/problems/find-the-duplicate-number/,https://neetcode.io/problems/find-duplicate-integer,Medium,Linked List
76,Missing Number,https://leetcode.com/problems/missing-number/,https://neetcode.io/problems/missing-number,Easy,Bit Manipulation
77,LRU Cache,https://leetcode.com/problems/lru-cache/,https://neetcode.io/problems/lru-cache,Medium,Linked List
78,Lowest Common Ancestor of a Binary Search Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,https://neetcode.io/problems/lowest-common-ancestor-in-binary-search-tree,Medium,Trees
